Points
"(0.022709676065752582, -0.04162071181278603)"
"(0.012951611549623543, -0.026118260832393866)"
"(0.006076611549623551, -0.007919731420629156)"
"(0.006076611549623551, 0.0075827195597630015)"
"(0.00629838574317193, 0.0183670332852532)"
"(0.007185482517365477, 0.027129288187213996)"
"(0.016499998646397743, 0.03757659210878263)"
"(-0.02829838845037646, 0.039598650932312046)"
"(-0.022975807805215166, 0.02274816073623359)"
"(-0.016322581998763554, 0.00960477838329242)"
"(-0.012108872321344201, -0.00016850593043307716)"
"(-0.011000001353602261, -0.008256741224550723)"
"(-0.012552420708440974, -0.018367035342197788)"
"(-0.01654435619231194, -0.019041054950040923)"
"(-0.0240846787729571, -0.029488358871609555)"
